id,is_iceberg
5941774d,0.12928164
4023181e,0.7148354
b20200e4,1.0
e7f018bb,0.9760728
4371c8c3,0.9763614
a8d9b1fd,0.054995596
29e7727e,0.0996733
92a51ffb,0.97218037
c769ac97,3.1583568e-06
aee0547d,8.085635e-09
565b28ac,4.8010725e-07
e04e9775,0.7616607
8e8161d1,0.00178051
4cf4d256,0.5877092
139e5324,0.99739707
f156976f,0.022404045
68a117cc,0.51038724
d9aa7a56,0.71979433
9005b143,0.99994457
5f6d3988,0.87598825
9ad70954,0.20620993
b9087b9e,0.82910115
a39a1427,0.99912906
82fbe8ed,0.5175407
1fae4879,9.711345e-18
6dd8f13d,3.6563177e-09
bbad5958,0.3527986
54527583,0.6574247
be8fa29c,0.1226123
81a3328f,0.9930968
1a3c0ab3,0.99991083
4deeeb8b,0.7628852
ac6d5632,0.5490947
472dadb5,0.94633895
96093f95,0.6455735
f5b4e3df,0.97813475
e01a3c92,0.00010952643
001680af,0.060632348
8e639f33,0.21913448
a2c16612,0.7377763
a6d76474,1.4324181e-14
19c47684,0.9154687
015827b6,0.99991035
7df7f7ce,0.99627805
0bbf1a3f,0.666863
636cfbb7,0.6549124
7370030a,0.9853525
43aa97ad,0.98906434
ba2b5e63,0.99998283
dfdd335b,0.2374498
e79b13dc,1.0431153e-07
dc32b195,0.734491
6d868590,0.9818226
75fa59aa,0.43936276
ffe50836,0.9981984
a7bfd784,0.9823389
b3d569e3,0.20092046
6c538c5b,0.37766305
5c7c15f4,1.0
0b745139,0.9995739
fd14608e,0.48337632
f0bc8305,0.20919952
a10ccb28,0.9998925
543304c7,0.80970716
6c3a4078,6.0230425e-24
9b73cc75,0.78601503
5c6c71b1,0.02849108
09ee9186,0.92993283
207c35cf,0.85475296
153c813e,1.0
5605d58b,0.8826014
642ca396,0.0015650392
d32d72c0,0.9188212
16646a17,0.90951455
384074af,0.87951934
69bf1e8c,0.6699202
9e90a054,0.8169097
89dbe7f7,0.9995294
dbd27d22,0.91768396
a2ea1561,0.8585967
d63402af,0.826345
1ac8bb92,0.9860163
8beffca5,0.9984237
46741f3e,0.062217027
e5ee6aa7,0.6541227
5ecd892b,0.83315897
69892166,0.00022608042
2f725a81,0.09684566
810abfe4,8.0613056e-05
e6f973e6,0.970232
c60a5c46,0.75977886
c42b9e08,0.8848549
c3f00c23,1.0
5307fdb8,0.9898689
3e4f005e,0.07849178
4a4cc2e0,0.89789104
9bdd88d1,9.168814e-13
0d832bed,0.100311875
14a134fa,8.752279e-06
78a41676,9.732305e-13
0bd4658e,0.05672282
4a311bb0,0.6113908
f939c817,0.8872309
956adc4d,0.9972083
f8a119f5,0.70867145
61faa1ad,0.9065969
6725eb3e,0.19516999
17b3a8fd,8.549692e-07
49a88dfc,5.666656e-13
2d6ec645,0.58275056
0d4d77ba,0.68835473
3ee672a2,0.99409103
738b41fd,0.94508153
f7fb320d,0.72563636
b42fad18,4.5663365e-11
4ab8b00a,0.8209142
f7870f2b,0.27688092
4978666a,0.7529799
f1b0d6c7,1.7679029e-05
5642407f,0.0015446246
36d4ff92,0.88204235
4139aba2,0.88214344
7585ce58,0.57395315
33e25984,0.9919827
ac46f3c9,0.16713983
fc34a5b8,0.6888911
85c36a8f,0.80760264
b2d8a426,0.10856283
13ec60d1,0.84696305
9d440f42,0.009872615
1c0a891e,0.68240523
981c3bc3,0.98574775
295604f4,0.7809769
16ca16c3,0.9343441
b4dda837,0.45346257
88d088ef,0.003110975
1b4fa160,0.6345901
f371bd82,0.002020359
b130a0b7,0.92025876
ebf1de82,0.6385419
01e651c3,0.9995078
51b1fecc,0.99853635
fa635a31,0.999992
97b7d789,0.07425222
2f598053,0.00875923
c0e3e148,0.9379057
cfa175a8,0.1292958
3d7e09d8,0.97972834
44a13d1b,0.99438655
c66b0948,0.8607216
976a6d64,0.32374913
8bbd8909,0.84528446
522890fd,0.9730434
f23a3b95,0.8145083
680039dc,0.93857646
93028e53,0.0031763017
22a16932,0.9997323
7d8126d2,0.032654375
ba2ecd75,4.272663e-09
8071bdd7,0.5755105
96d5aeee,1.4430524e-05
154be68f,0.85293007
d8c2bfe2,0.9398819
f76d47b0,0.9683924
0e781ade,0.008178353
13cf6060,4.566524e-24
cd99f710,0.97795546
d10005bb,0.97778726
3a31445f,0.9995906
3157202d,0.0012973547
6ee64703,0.55093277
e5de8685,0.45248786
02cc70ba,0.0002757907
50984a87,0.6180078
fa94957a,0.9954456
eab406b4,0.59452415
3ad39398,0.79440784
9ecf3802,0.9982626
6048ae7b,1.3812207e-11
9dc68871,1.4414596e-05
13701465,0.7611804
8d8779f3,0.057663143
0712f269,0.909116
722c2597,5.78835e-07
478a2b08,0.77913594
38f5fb41,0.8583792
c52ad74d,0.99524635
0c85fd09,3.5454922e-14
f1582cba,0.7498207
ff836697,0.9252873
ddfe4802,0.99990094
3cef3bc7,0.9488745
6a21542b,0.25071526
150e23c4,0.99155676
078c6d99,0.9524766
1dcd1dc3,0.004726082
39967e45,0.62615925
6b6333aa,1.0
4ae61433,0.97441536
f96362e0,0.10410926
97a88aac,0.66340095
427ae8ce,0.38356638
209d4b15,0.2556039
64b453bd,7.7219637e-20
0f5a484e,0.47643882
5ac74969,0.7795389
736ed43e,0.84052145
8533795f,0.9879438
f5b54fb6,0.71541804
6eb4c041,0.58099943
97afdf42,0.83693373
1bb488db,0.99895036
f132e44d,1.0
d3c2f140,0.62135327
1756794d,0.58428293
9efcc11f,6.9084057e-12
14c966cf,0.90269023
59cfe4d1,0.77903676
883151f4,1.0
34c4c9ff,0.37393644
70b4c2eb,0.45222196
96a337d9,0.78313315
7fe89ffa,0.5413385
057c7a22,7.748888e-13
451cc057,0.04181966
05076700,5.273326e-10
dc52f6c1,0.008820683
b03a59f9,0.19777825
129ed4b0,0.79500663
fb611563,0.97184813
ac32e6f1,0.818378
c05c5ab0,0.75654435
3163d5ed,0.016958654
02096ca4,0.7242281
e92496c0,0.00031933188
1a9e2c50,0.9720775
0864e334,0.9132204
d976faeb,0.80220604
1d7b342f,6.725129e-08
281bc1ea,1.6152335e-10
bea9f0cf,0.76223147
f4afa0e6,4.1973816e-09
e1b5ef69,0.49073908
b50539fd,1.0
2a8c9c15,0.70399356
157ebb0c,0.9326217
247d3614,0.026067525
0c6cc0cb,0.93042684
aae88d39,0.14157364
0c77b464,0.40801582
963cf5ea,0.9367176
1b371d8b,0.9891919
225bc00f,1.5952501e-13
bc0a4eec,0.54257095
1099782e,0.1984455
a18feadd,0.8977257
ad7f4932,0.07387513
5f8f831e,0.51767105
b5167c35,0.057886004
0230b06d,0.6964842
f8d7f7ba,1.5366122e-05
08bd1053,0.99548995
58e4dc8c,0.16906005
4793ce8e,0.8556545
304caab4,1.1461035e-11
f2ee6d7f,0.9775307
e1f9c0e4,0.9139476
8e40401c,0.948044
5d9eaba2,0.6470178
55e7562c,0.0030139685
9da6cb4b,2.434318e-13
c3c1c8ec,1.5021207e-18
3b38698e,0.021501571
6c9eb909,0.9547968
482a3d1d,0.71060205
0e9918f0,0.7571924
ef894fd2,2.8529454e-10
4b82e7f7,0.9775735
b9cdd7fb,8.14008e-11
94a496f4,0.9754768
995eacae,0.90647733
41b02e58,0.9907648
69f04617,0.9767574
c889a03c,0.96533287
91f98acf,0.9921917
9135c19f,0.997874
1f0e9c09,2.9078363e-08
260d6e8e,0.00043481588
46334397,1.1334844e-06
f34ddf31,0.027635545
4d6177d7,0.7091285
76a57270,0.88118684
217b8cea,0.9351473
9a45a566,1.0
1b55c75e,5.071074e-18
7bd92ec6,0.9855933
6c409f41,0.7400482
df3e48eb,0.038839817
62723e57,0.35656357
b8e627bf,0.11416826
86bb5d85,0.07878888
77e5034c,0.7041889
607079e5,0.72931165
96879fb4,1.0
6afe606d,0.8958743
4129802f,0.9408369
a42300ef,0.68814003
1af842f5,0.98064303
3fe57d78,0.9999919
f4e60ed5,0.9888885
68c8337b,0.46500438
914ed5b5,0.45659494
a6bb5987,0.66744137
c781c439,0.5636288
47a1a25e,0.12936786
80ea0713,0.97804976
a9d001bc,8.674481e-05
f94d098a,0.019598871
3e230e0e,0.99826777
24afa485,0.9921931
bc37db7f,0.8812131
83f99e4d,1.2074892e-06
1a8d86f7,0.0014156401
38136419,0.76892626
d393e637,0.8317317
36902570,0.9434475
327f7b25,0.9550335
3f8543c6,0.99792254
a0d42a70,0.8505919
e07ba430,0.7007586
c6e53803,0.9801537
fec4dad8,0.5812135
933fc5ba,0.7413995
c27eda4e,0.935822
9b94d2c2,0.0021945238
a2dbdb31,0.041542083
816258dd,0.6478005
81f11218,0.99718016
c4bd9d04,0.9504893
c6ce9bf9,0.019753069
a7b3cc29,1.8280351e-06
527870bf,0.713554
9af26068,0.9994857
0b591e70,0.9705477
2b1e57c5,0.46500477
194db786,0.8380288
e09ba644,0.9999402
fa2ed3e5,0.97437865
1ba92726,0.9853078
8c8f45b4,2.257767e-16
f8889f44,1.0
598e255b,0.46354824
45f1aa7a,0.7065667
022956a3,1.0
d406064d,0.7582281
76617947,1.5970476e-19
d0e5dccb,0.89388967
33271da6,0.987096
0840e2b1,0.3839368
521a9f4d,0.5469824
7286b1dc,0.9988905
5b6acc2d,0.99968815
e034cd34,9.799132e-14
46577660,0.020405322
bb4d6f24,0.9224676
bfc7a3f2,0.8243729
abc66be8,0.027588189
3627189f,0.98545027
e49a77f6,0.7021879
a209d7ee,0.95473474
dee69cf6,0.84732926
9a6261a0,0.30244973
a8e444c6,0.99979305
a6a66a28,0.9985692
db7022ff,0.024847388
0dfb45d9,0.75267637
81c983aa,0.40698332
a98fb5e1,0.9826932
99e004d7,0.9999981
d16e5fbb,0.9999472
3c352f9e,0.32505494
12202699,0.025629282
86af0236,0.7115565
f3703e6f,0.5380834
4a71dc34,0.8037734
321edcdc,0.65203685
e365a657,1.0
45755c9c,0.014356852
873b0829,0.99999785
72ccd009,0.035634607
205243d9,0.9572989
d9202f36,0.83922863
9d0c30b0,0.84835124
56644ace,0.25828445
c63f527f,0.8206731
bb84b9bd,0.8048915
6f68caf0,0.61673784
8492119b,4.0553965e-09
71bde48d,0.9601375
d2d6e2ba,0.814561
6f4b309c,0.79648817
b3cc5ba3,0.8647828
fee39547,0.68482804
4893137a,0.95815325
e283c4c4,0.84180033
25bac62b,0.74261916
8fd88dd6,8.5973725e-06
b48c104e,0.8161284
221d500b,0.69021225
8f0de087,5.2777817e-05
32342e03,0.055181563
a8da99d8,0.8117738
93203755,0.75362873
d3c88528,0.9527578
0d7a17b3,0.029081851
bd72f5ec,0.9999493
e953c0fd,0.99263847
e730b6c6,0.9974817
c086033a,0.0061245263
a521d303,8.077078e-06
b023957a,0.9716932
3e0f04e8,1.0
60647cba,7.4880544e-12
2f5c43a8,0.73992056
b54ba69b,0.65026987
eac962ff,0.53618526
7e2a3763,0.011915773
9362d863,0.17451927
8f1b833c,0.6806817
79727ff5,0.0010282695
62614c75,0.78395504
75a03adf,0.94609547
cf138392,0.8206067
bf467a96,0.21094811
c8b34651,0.9807951
105a5c54,0.99563026
bf6de75c,0.1284725
060702c8,0.9997333
921bad2c,0.9315423
e0d17eb0,0.7378512
9a3825c9,0.70128936
8eda717f,0.020192742
78906e0c,0.99989617
c60100ad,0.95532316
90a72a52,0.95805323
d80e4ed4,0.70569605
339cd0d2,0.0116559565
d99de899,0.70356166
357e20d1,0.11453414
a4d190da,0.21139064
bd226217,0.99076617
476e2771,0.97752374
4e483506,0.99090624
f70ea081,0.9393563
